弹幕内容,模型标注,是否正确(填1或0),你的标注(可选)
哈哈哈哈哈哈行,情绪共鸣,1,
phone,其他,1,
当到了一定年龄，大多数人已经为了职业、事业跑起来的时候，有那么一部分人，还陷在原生环境里抬不起腿,情绪共鸣,1,
耽美小说NB！！！！,情绪共鸣,1,
你看现在哪有螃蟹啊，这都是大棚的螃蟹，你嫌贵，我还嫌贵呢,情绪共鸣,0,这看起来是在搞抽象，应该和视频内容有关，如果可以的话帮我朔源一下具体视频，我确认一下
在这个,其他,1,
要长脑子了,情绪共鸣,1,
是的,其他,0,这应该表达了认可吧，算不算情绪共鸣
期待刀回归日常,催更,1,
第二天,打卡许愿,1,
先问是不是，再问为什么,吐槽,1,
很有意义哇对于我这种小白来说,情绪共鸣,1,
10天征服51单片机,打卡许愿,1,
想听,情绪共鸣,0,这算不算许愿？
？对方纯骂人哈,吐槽,1,
休息啥弹幕莫名其妙,吐槽,1,
哈哈哈哈哈,情绪共鸣,1,
我还以为是深田的那部,其他,0,算提问吧
吓人吗这个个,提问,1,
这动作看似简单，做一分钟也蛮累,情绪共鸣,1,
哈哈哈哈哈哈,情绪共鸣,1,
老库神了,情绪共鸣,1,
不知道为什么，他没有大蚊子有安全感,其他,1,
技校,其他,1,
好温馨好幸福吧...,情绪共鸣,1,
为什么呀，心疼小沃玛，只不过是泡泡水被打翻了而已,情绪共鸣,1,
知识点输入后当然也要输出才行  可以找身边的人练习,其他,1,
时之沙,其他,1,
这剩下的俩分钟简直像两小时,情绪共鸣,1,
我高中也是这样,情绪共鸣,1,
高新区 不是金水区,其他,1,
小姐姐有点肿泡眼啊,吐槽,1,
这个暑假，真的好卷啊,情绪共鸣,1,
我的世界,其他,1,
换行更清楚，方便查阅检错,其他,1,
cao,情绪共鸣,1,
点火公式？,提问,1,
谢谢老师,情绪共鸣,1,
无双神王,其他,1,
你是不是黑客？,提问,1,
做得好,情绪共鸣,1,
人家说的是流水,其他,1,
我选小LIN,其他,1,
需要这些才能有国家,其他,1,
我第四遍，马上要看完了，拜拜了,打卡许愿,1,
电子科技大学报道,打卡许愿,1,
天呐,情绪共鸣,1,
你们加速看看。,其他,1,
宏没龟,其他,1,
核有点大,其他,1,
穿越火线的时代过了吗，爷的青春结束了,情绪共鸣,1,
加荷包蛋真的很好吃！,其他,0,这算不算情绪共鸣？
____________________________________________________________________________________________________,其他,1,
我的天,情绪共鸣,1,
能预测彩票么,提问,1,
人少的地方就是资源好,其他,1,
我吃过这个，稍难吃,其他,1,
买到假的了，因为真的不便宜，经费可能不够,吐槽,1,
感动,情绪共鸣,1,
我保护个蛋哦。,其他,1,
期末考试好迷茫，一个都不会 怎么办,提问,1,
注意看右下角,其他,1,
这个看起来好好吃,情绪共鸣,1,
bucuo,情绪共鸣,1,
开始打卡,打卡许愿,1,
便宜的很,消费决策,1,
嗯？等会儿……现在是谁的视角？,提问,1,
不单点26.8属于行价了,消费决策,1,
抽我,打卡许愿,1,
数学,其他,1,
零分钟前太烫了,其他,1,
我38,其他,1,
这个地方真的太美了,情绪共鸣,1,
oracleoracle,其他,1,
眼睛咋回事 怎么一圈黑的,提问,1,
2025/7/25有幸遇见,打卡许愿,1,
骑行真的很棒,情绪共鸣,1,
昭觉寺很便宜的,消费决策,1,
有可能但是不会对人产生伤害,其他,1,
关闭杜比全景音,其他,1,
这也太随意了,吐槽,1,
这下不得不学了,情绪共鸣,1,
吃太撑对身体损害真的大,其他,0,这算不算情绪共鸣？
一起加油,打卡许愿,1,
白嫖是种能力！,其他,1,
哟，加大饵料,其他,1,
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,情绪共鸣,1,
有点深奥哎,情绪共鸣,1,
社牛的世界社恐永远不懂,情绪共鸣,1,
我悟了,情绪共鸣,1,
我试了N6也是切换横竖屏会刷新,其他,1,
哈哈哈哈哈哈哈哈,情绪共鸣,1,
这声音太有磁性了，追了,情绪共鸣,1,
拿你们贵州跟苏州比物价？是一个等级的城市吗,吐槽,1,
泥嚎,其他,1,
《没有文化大学》哈哈哈哈哈哈,情绪共鸣,0,感觉这就是觉得搞笑发了个弹幕，算情绪共鸣么？
广州不吃年糕的,其他,1,
是我,其他,1,
更新啦!,情绪共鸣,0,这算不算催更类的，表达了看到up主更新的激动之情
青色的,其他,1,
这个推荐用电脑玩儿，手机玩儿容易点错。,求推荐,0,这应该算推荐吧，不算求推荐？
为国守边！致敬！,情绪共鸣,1,
三连必须三连,情绪共鸣,1,
1材料+1工具=2成品,其他,1,
空投手谕（,其他,1,
梦开始的地方,其他,1,
功德+99999,情绪共鸣,1,
这个小包间就值了！,消费决策,1,
不行了这个确实好看，其他的都不重要了,情绪共鸣,1,
应该是花展，涨价了变10元，原价5元？,提问,1,
不痛风吗？,提问,1,
是钳子！,其他,1,
哩哩哩离谱,吐槽,11,
我恨你们,情绪共鸣,1,
叶 文 洁,其他,1,
谢谢帅小伙,情绪共鸣,1,
油炸的,其他,1,
Tian day 3,其他,1,
NB,情绪共鸣,1,
哈哈哈哈哈,情绪共鸣,1,
天那现在好紧张,情绪共鸣,1,
枳妹打卡,打卡许愿,1,
准大一爱看,其他,0,这算不算情绪共鸣？
看得出来这个赖导是真的相信那个小伙子的驾驶技术啊,情绪共鸣,1,
少说了，得两米,吐槽,1,
重庆不也是直辖市吗嘤嘤嘤（doge）,提问,1,带doge的可能是搞抽象，可能需要结合上下文判断
认同感，直接跟我说有克隆体代替我肯定不同意，但和克隆体交流后，发现他完全理解我，那他就是我,情绪共鸣,1,
your,其他,1,
不知道去哪就驻店算了,其他,0,这算不算潜在求教程呢
我看这个逼笑我怎么这么难受,吐槽,1,
空降5：00,其他,1,
感觉汤都凉了……,情绪共鸣,1,
NB,情绪共鸣,1,
熊磊，当你看到这，我已经看完了,其他,1,
雨琪姐姐的视频超棒,情绪共鸣,1,
这是天鹅蛋还是象拔蚌,提问,1,
好吃到抽耳光都不放手（,情绪共鸣,1,
我不相信詹姆斯会犯罪，他是个好人，有着金子般的心,其他,1,
本来想添砖加瓦，谁想到一不小心给地基挖了,吐槽,1,
《挺好看的》,情绪共鸣,1,
java,其他,1,
是卡斯特,其他,1,
116人,其他,0,这是打卡内容，一般是看视频时看到左下角显示的在看人数
啊啊啊啊啊啊啊啊啊啊,情绪共鸣,1,
邺山村,其他,1,
成都信息工程大学,其他,1,
不行,吐槽,1,
刀：我自由啦！,情绪共鸣,1,
对味儿了,情绪共鸣,1,
我也突然觉得美式卷舌有些流氓,其他,0,这算不算情绪共鸣？
Open the door,其他,1,
这鳝鱼敢买这么贵,消费决策,1,
Every student has access to the library.,其他,1,
在靠近一点就会爆炸！,其他,1,
打卡第二十五天,打卡许愿,1,
关闭杜比全景音,其他,1,
龙哥生日快乐！！！！！！！！天天开心！,情绪共鸣,1,
？呃。。。,其他,1,表达情绪
上流,情绪共鸣,1,
名场面,其他,1,
谢谢老师！！！,情绪共鸣,1,
谢谢老师,情绪共鸣,1,
等我有币再投,打卡许愿,1,
新课的课件哪里可以获取,提问,0,求课件（求教程？）
考完了,打卡许愿,1,
伊莫,其他,1,
大数据的馈赠,其他,1,
已经毕业两年了过来凑个热闹哈哈哈,其他,1,
少废话，快买！,消费决策,1,
插座仙人,其他,1,
体质不好吃点海参吧,其他,1,
yes,其他,1,
华为,其他,1,
借你吉言,其他,1,
谢谢框框,情绪共鸣,1,
《睡了》《凌晨一点半》,其他,1,这种一般是打了视频中的台词，表示主角这么说了，但却做了相反的事情的一种搞笑
熊：我的菊花并没有惹你，你干什么,情绪共鸣,1,
日月山河还在,其他,1,
最小玩具都是被黑化才会的，因为他们那个啥的有很多小朋友都是那种暴力的去玩他们,其他,1,
真真0基础啊,其他,1,
估计当玩具买的而已，不是主力机,消费决策,1,
自己都笑场了,情绪共鸣,1,
律师函警告,情绪共鸣,1,
中间,其他,1,
坏菜了,其他,1,这算不算表达情绪，一般是看到视频中的某个剧情，感叹角色要完蛋了
主播声音好好听,情绪共鸣,1,
还好没看过,情绪共鸣,1,
38的米饭，48的皮蛋。,其他,1,
东尼（不是）,其他,1,
《祖上传下来的护身符炸了》《爷爷送的玉佩炸了》《奶奶给我的黄符纸自燃了》《保我的菩萨断臂求生了》《护我道上的狐仙被别的狐狸配了》《我拜的关公倒地了》《家里的金银器全发黑了》《僵尸在我旁边撒糯米》,情绪共鸣,1,这种一般是打了视频中的台词，表示主角这么说了，但却做了相反的事情的一种搞笑
BGM：GTA4,其他,1,
冰箱呢,提问,1,
大邑肥肠血旺,其他,1,
王亚月,其他,1,
第三天,打卡许愿,1,
这个太恐怖了,情绪共鸣,1,
外面的人:因为我上一世没有成功得到了食物，这次一定要抢到食物,其他,1,
哥特到了,其他,1,
呀，什么封把你吹来的啊,提问,1,
找了半天井号,其他,1,
